order,requested_label,sample_dir,source_id,text,run_policy,speed_profile,diagnostic_only,real_robot_ready
1,test_x-fZc293MpJk_2-1-rgb_front,01_test_x-fZc293MpJk_2-1-rgb_front,-fZc293MpJk_2-1-rgb_front,The aileron is the control surface in the wing that is controlled by lateral movement right and left of the stick.,complete_visualization,normal,True,False
2,test_G19uBylwQww_14-2-rgb_front,02_test_G19uBylwQww_14-2-rgb_front,G19uBylwQww_14-2-rgb_front,"Then fold it back in half again, give it another good swipe here to make sure everything's going to stay and also make sure our points not bent.",complete_visualization,normal,True,False
3,test_g0yUlOaqL6k_10-3-rgb_front,03_test_g0yUlOaqL6k_10-3-rgb_front,g0yUlOaqL6k_10-3-rgb_front,As far as cleaning goes the jungle earth bark type of thing I have in here is extremely easy to clean.,complete_visualization,normal,True,False
4,test_g1HXoDkax5A_27-3-rgb_front,04_test_g1HXoDkax5A_27-3-rgb_front,g1HXoDkax5A_27-3-rgb_front,And that's a great vital point technique for women's self defense.,complete_visualization,normal,True,False
5,test_G42xKICVj9U_5-5-rgb_front,05_test_G42xKICVj9U_5-5-rgb_front,G42xKICVj9U_5-5-rgb_front,You want your weight to be forward up the mountain and over your toes.,complete_visualization,normal,True,False
6,test_G2Go6a76xd0_7-5-rgb_front,06_test_G2Go6a76xd0_7-5-rgb_front,G2Go6a76xd0_7-5-rgb_front,Whether or not the horse has just come from a strenuous competition.,complete_visualization,normal,True,False
7,test_g0iNy-yPisM_11-8-rgb_front,07_test_g0iNy-yPisM_11-8-rgb_front,g0iNy-yPisM_11-8-rgb_front,"But you can come in here, and you can edit all this information that you put in when you first set up your My Space page.",complete_visualization,normal,True,False
8,train_CE23zzfUBDw_48-5-rgb_front,08_train_CE23zzfUBDw_48-5-rgb_front,CE23zzfUBDw_48-5-rgb_front,There's no hernia and both of the testicles have come down.,complete_visualization,normal,True,False
9,train_FTuTLRq7014_7-8-rgb_front,09_train_FTuTLRq7014_7-8-rgb_front,FTuTLRq7014_7-8-rgb_front,"I would always recommend that, until you start getting into jogging, running, tennis, anything that's high endurance and you're going to be moving around a lot more.",complete_visualization,normal,True,False
10,val_0pKzG0RRUz4_2-2-rgb_front,10_val_0pKzG0RRUz4_2-2-rgb_front,0pKzG0RRUz4_2-2-rgb_front,"I like the lock extensions because it's not damaging to your hair at all, because you can add color without actually coloring your hair, you just wrap on a different color.",complete_visualization,normal,True,False
11,val_a5yNwUSiYpA_9-3-rgb_front,11_val_a5yNwUSiYpA_9-3-rgb_front,a5yNwUSiYpA_9-3-rgb_front,"Again, just like the squat you want to push from the heels.",complete_visualization,normal,True,False
12,val_eahjYz2685g_3-8-rgb_front,12_val_eahjYz2685g_3-8-rgb_front,eahjYz2685g_3-8-rgb_front,"I found that out many, many years ago as a college professor when I used to try to please all of my students.",complete_visualization,normal,True,False
13,val_39FN42e41r0_0-1-rgb_front,13_val_39FN42e41r0_0-1-rgb_front,39FN42e41r0_0-1-rgb_front,"MICHAEL ROSENGART: Right now, I'm here with two personal trainers, Ryan Regensburg and Jonesy and we're doing some renegade rows.",complete_visualization,normal,True,False
14,val_D4NatJnEMBU_1-5-rgb_front,14_val_D4NatJnEMBU_1-5-rgb_front,D4NatJnEMBU_1-5-rgb_front,Okay sausage today we're going to do a creole shrimp sausage the thing about creole and cajun cooking or sausage making is that they stuff about anything.,complete_visualization,normal,True,False
15,val_x-f1_kdl050s_10-1-rgb_front,15_val_x-f1_kdl050s_10-1-rgb_front,-f1_kdl050s_10-1-rgb_front,You need to be very careful when cleaning their cages if these birds are flighted.,complete_visualization,normal,True,False
