order,requested_label,status,source_id,text,sample_dir,pair_manifest,gt_video,ours_video,stacked_video,run_policy,speed_profile,diagnostic_only,real_robot_ready,gt_geometry_gate_pass,gt_retime_gate_pass,gt_physical_audit_pass,gt_upper_body_rmse_rad,gt_left_hand_rmse_rad,gt_right_hand_rmse_rad,gt_contact_force_peak_n,gt_inter_palm_rmse_m,gt_diagnostic_only,ours_geometry_gate_pass,ours_retime_gate_pass,ours_physical_audit_pass,ours_upper_body_rmse_rad,ours_left_hand_rmse_rad,ours_right_hand_rmse_rad,ours_contact_force_peak_n,ours_inter_palm_rmse_m,ours_diagnostic_only
1,test_x-fZc293MpJk_2-1-rgb_front,COMPLETE,-fZc293MpJk_2-1-rgb_front,The aileron is the control surface in the wing that is controlled by lateral movement right and left of the stick.,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/01_test_x-fZc293MpJk_2-1-rgb_front,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/01_test_x-fZc293MpJk_2-1-rgb_front/pair_manifest_v7_2.json,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/01_test_x-fZc293MpJk_2-1-rgb_front/final/01_GT_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/01_test_x-fZc293MpJk_2-1-rgb_front/final/02_Ours_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/01_test_x-fZc293MpJk_2-1-rgb_front/final/03_GT_Ours_Stacked_Source_HumanMesh_G1Wuji_Physical.mp4,complete_visualization,normal,True,False,False,True,False,0.16887395719383336,0.12980056801149528,0.1555958246602571,491.39727253205433,0.049651954247208266,True,True,True,False,0.0312095400154391,0.06665919168604156,0.08467881993895625,152.75498676020888,0.02270420451377444,True
2,test_G19uBylwQww_14-2-rgb_front,COMPLETE,G19uBylwQww_14-2-rgb_front,"Then fold it back in half again, give it another good swipe here to make sure everything's going to stay and also make sure our points not bent.",/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/02_test_G19uBylwQww_14-2-rgb_front,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/02_test_G19uBylwQww_14-2-rgb_front/pair_manifest_v7_2.json,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/02_test_G19uBylwQww_14-2-rgb_front/final/01_GT_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/02_test_G19uBylwQww_14-2-rgb_front/final/02_Ours_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/02_test_G19uBylwQww_14-2-rgb_front/final/03_GT_Ours_Stacked_Source_HumanMesh_G1Wuji_Physical.mp4,complete_visualization,normal,True,False,False,True,False,0.11143140475249405,0.14014889586186155,0.08618024965818152,422.54670088353197,0.04490505257802202,True,False,True,False,0.0619931496307889,0.05712587679707305,0.0364573635677905,663.8189777790227,0.018339038603862157,True
3,test_g0yUlOaqL6k_10-3-rgb_front,COMPLETE,g0yUlOaqL6k_10-3-rgb_front,As far as cleaning goes the jungle earth bark type of thing I have in here is extremely easy to clean.,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/03_test_g0yUlOaqL6k_10-3-rgb_front,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/03_test_g0yUlOaqL6k_10-3-rgb_front/pair_manifest_v7_2.json,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/03_test_g0yUlOaqL6k_10-3-rgb_front/final/01_GT_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/03_test_g0yUlOaqL6k_10-3-rgb_front/final/02_Ours_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/03_test_g0yUlOaqL6k_10-3-rgb_front/final/03_GT_Ours_Stacked_Source_HumanMesh_G1Wuji_Physical.mp4,complete_visualization,normal,True,False,False,True,False,0.07102310868289666,0.2169765712018783,0.15683113081683858,329.44795322977984,0.05793076053394486,True,False,True,False,0.054248929638327184,0.13734559062481688,0.08716305885610028,474.143290419779,0.03165543756436146,True
4,test_g1HXoDkax5A_27-3-rgb_front,COMPLETE,g1HXoDkax5A_27-3-rgb_front,And that's a great vital point technique for women's self defense.,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/04_test_g1HXoDkax5A_27-3-rgb_front,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/04_test_g1HXoDkax5A_27-3-rgb_front/pair_manifest_v7_2.json,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/04_test_g1HXoDkax5A_27-3-rgb_front/final/01_GT_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/04_test_g1HXoDkax5A_27-3-rgb_front/final/02_Ours_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/04_test_g1HXoDkax5A_27-3-rgb_front/final/03_GT_Ours_Stacked_Source_HumanMesh_G1Wuji_Physical.mp4,complete_visualization,normal,True,False,True,True,False,0.09211555041283451,0.16575661261797675,0.24888518211671912,93.39513869311347,0.030511598306710887,True,True,True,False,0.03201195437764413,0.10086982126283951,0.17324033153965782,274.4726298172418,0.02548606002950112,True
5,test_G42xKICVj9U_5-5-rgb_front,COMPLETE,G42xKICVj9U_5-5-rgb_front,You want your weight to be forward up the mountain and over your toes.,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/05_test_G42xKICVj9U_5-5-rgb_front,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/05_test_G42xKICVj9U_5-5-rgb_front/pair_manifest_v7_2.json,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/05_test_G42xKICVj9U_5-5-rgb_front/final/01_GT_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/05_test_G42xKICVj9U_5-5-rgb_front/final/02_Ours_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/05_test_G42xKICVj9U_5-5-rgb_front/final/03_GT_Ours_Stacked_Source_HumanMesh_G1Wuji_Physical.mp4,complete_visualization,normal,True,False,True,True,False,0.03439208325458501,0.1653528470277643,0.1949249283081964,147.9787795656848,0.02886503306422474,True,False,True,False,0.032328714468050294,0.06944583444172382,0.0804966682850077,178.30992845399246,0.032398448916763294,True
6,test_G2Go6a76xd0_7-5-rgb_front,COMPLETE,G2Go6a76xd0_7-5-rgb_front,Whether or not the horse has just come from a strenuous competition.,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/06_test_G2Go6a76xd0_7-5-rgb_front,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/06_test_G2Go6a76xd0_7-5-rgb_front/pair_manifest_v7_2.json,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/06_test_G2Go6a76xd0_7-5-rgb_front/final/01_GT_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/06_test_G2Go6a76xd0_7-5-rgb_front/final/02_Ours_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/06_test_G2Go6a76xd0_7-5-rgb_front/final/03_GT_Ours_Stacked_Source_HumanMesh_G1Wuji_Physical.mp4,complete_visualization,normal,True,False,True,True,False,0.0382861967072688,0.15347035183178864,0.137433114332588,274.0326817061819,0.02559877832508693,True,False,True,False,0.03182543815064534,0.08885877780492375,0.07407540664845184,269.8978237964443,0.02097769359545608,True
7,test_g0iNy-yPisM_11-8-rgb_front,COMPLETE,g0iNy-yPisM_11-8-rgb_front,"But you can come in here, and you can edit all this information that you put in when you first set up your My Space page.",/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/07_test_g0iNy-yPisM_11-8-rgb_front,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/07_test_g0iNy-yPisM_11-8-rgb_front/pair_manifest_v7_2.json,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/07_test_g0iNy-yPisM_11-8-rgb_front/final/01_GT_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/07_test_g0iNy-yPisM_11-8-rgb_front/final/02_Ours_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/07_test_g0iNy-yPisM_11-8-rgb_front/final/03_GT_Ours_Stacked_Source_HumanMesh_G1Wuji_Physical.mp4,complete_visualization,normal,True,False,True,True,False,0.06880081002474187,0.12703747284678668,0.17979290584301744,326.1754040370468,0.05307092164434246,True,False,True,False,0.05447294983239441,0.10610253786068356,0.1521267752479546,226.0582317304217,0.03844328882109033,True
8,train_CE23zzfUBDw_48-5-rgb_front,COMPLETE,CE23zzfUBDw_48-5-rgb_front,There's no hernia and both of the testicles have come down.,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/08_train_CE23zzfUBDw_48-5-rgb_front,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/08_train_CE23zzfUBDw_48-5-rgb_front/pair_manifest_v7_2.json,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/08_train_CE23zzfUBDw_48-5-rgb_front/final/01_GT_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/08_train_CE23zzfUBDw_48-5-rgb_front/final/02_Ours_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/08_train_CE23zzfUBDw_48-5-rgb_front/final/03_GT_Ours_Stacked_Source_HumanMesh_G1Wuji_Physical.mp4,complete_visualization,normal,True,False,True,True,False,0.037718926824367886,0.14440762872740415,0.11964024791739047,221.3854680527561,0.026535957369754275,True,True,True,True,0.026022364346308287,0.08968972879153995,0.07142985823652001,59.91109249657481,0.01754078631496471,False
9,train_FTuTLRq7014_7-8-rgb_front,COMPLETE,FTuTLRq7014_7-8-rgb_front,"I would always recommend that, until you start getting into jogging, running, tennis, anything that's high endurance and you're going to be moving around a lot more.",/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/09_train_FTuTLRq7014_7-8-rgb_front,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/09_train_FTuTLRq7014_7-8-rgb_front/pair_manifest_v7_2.json,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/09_train_FTuTLRq7014_7-8-rgb_front/final/01_GT_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/09_train_FTuTLRq7014_7-8-rgb_front/final/02_Ours_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/09_train_FTuTLRq7014_7-8-rgb_front/final/03_GT_Ours_Stacked_Source_HumanMesh_G1Wuji_Physical.mp4,complete_visualization,normal,True,False,True,True,False,0.0738454027350638,0.19661646143712042,0.17132733298511407,244.28300487578522,0.050487265688888804,True,False,True,False,0.04628473232517143,0.10884728249822921,0.10490803877462329,247.80834989034832,0.029521919542903927,True
10,val_0pKzG0RRUz4_2-2-rgb_front,COMPLETE,0pKzG0RRUz4_2-2-rgb_front,"I like the lock extensions because it's not damaging to your hair at all, because you can add color without actually coloring your hair, you just wrap on a different color.",/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/10_val_0pKzG0RRUz4_2-2-rgb_front,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/10_val_0pKzG0RRUz4_2-2-rgb_front/pair_manifest_v7_2.json,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/10_val_0pKzG0RRUz4_2-2-rgb_front/final/01_GT_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/10_val_0pKzG0RRUz4_2-2-rgb_front/final/02_Ours_Source_HumanMesh_G1Wuji_Physical.mp4,/data/yujiazeng/DexterousGPT/experiments/signar_gt_ours15_physical_v7_2_normal_complete_visualization_r1/samples/10_val_0pKzG0RRUz4_2-2-rgb_front/final/03_GT_Ours_Stacked_Source_HumanMesh_G1Wuji_Physical.mp4,complete_visualization,normal,True,False,True,True,False,0.06257240663326735,0.15264660553983186,0.14059911579637754,195.18468464437933,0.04587919819148868,True,False,True,False,0.02757953208245827,0.06970001899132124,0.07949929782505889,269.0000024710944,0.02457815206202982,True
